dataset,auco_mean,auco_std
Lipo,37.64301711555862,3.0714229437800427
ESOL,40.54080426633311,11.449829181438473
FreeSolv,86.05126968331257,47.86221088976538
QM7,1016.4386075298905,104.93095928806152
QM9 $\mu$,13.819163939596656,1.1103226993077946
QM9 $\alpha$,22.906246210862296,2.5605349590078106
QM9 $\epsilon_{\mathrm{HOMO}}$,5.202108296254477,0.4760451224245849
QM9 $\epsilon_{\mathrm{LUMO}}$,5.78148210235593,0.465737883243837
QM9 $\Delta \epsilon$,6.887785354963841,0.6711570586971073
QM9 $\langle R^2 \rangle$,1092.0383175577,139.37880681239378
QM9 ZPVE,3.2748590974924507,1.1737581914686894
QM9 $c_v$,19.44586207785392,4.549833782683569
QM9 $U_0$,39.021262987383025,7.7781179520632415
QM9 $U$,39.044318964734416,7.805577377418363
QM9 $H$,39.017940793870245,7.808042585749624
QM9 $G$,39.03432960834557,7.79549461572066
